Time(s),Position(m),Velocity(m/s)
0.00,2.00,49.00
0.10,6.85,48.02
0.20,11.60,47.04
0.30,16.26,46.06
0.40,20.82,45.08
0.50,25.28,44.10
0.60,29.64,43.12
0.70,33.90,42.14
0.80,38.06,41.16
0.90,42.13,40.18
1.00,46.10,39.20
1.10,49.97,38.22
1.20,53.74,37.24
1.30,57.42,36.26
1.40,61.00,35.28
1.50,64.48,34.30
1.60,67.86,33.32
1.70,71.14,32.34
1.80,74.32,31.36
1.90,77.41,30.38
2.00,80.40,29.40
2.10,83.29,28.42
2.20,86.08,27.44
2.30,88.78,26.46
2.40,91.38,25.48
2.50,93.88,24.50
2.60,96.28,23.52
2.70,98.58,22.54
2.80,100.78,21.56
2.90,102.89,20.58
3.00,104.90,19.60
3.10,106.81,18.62
3.20,108.62,17.64
3.30,110.34,16.66
3.40,111.96,15.68
3.50,113.48,14.70
3.60,114.90,13.72
3.70,116.22,12.74
3.80,117.44,11.76
3.90,118.57,10.78
4.00,119.60,9.80
4.10,120.53,8.82
4.20,121.36,7.84
4.30,122.10,6.86
4.40,122.74,5.88
4.50,123.28,4.90
4.60,123.72,3.92
4.70,124.06,2.94
4.80,124.30,1.96
4.90,124.45,0.98
5.00,124.50,0.00
5.10,124.45,-0.98
5.20,124.30,-1.96
5.30,124.06,-2.94
5.40,123.72,-3.92
5.50,123.28,-4.90
5.60,122.74,-5.88
5.70,122.10,-6.86
5.80,121.36,-7.84
5.90,120.53,-8.82
6.00,119.60,-9.80
6.10,118.57,-10.78
6.20,117.44,-11.76
6.30,116.22,-12.74
6.40,114.90,-13.72
6.50,113.48,-14.70
6.60,111.96,-15.68
6.70,110.34,-16.66
6.80,108.62,-17.64
6.90,106.81,-18.62
7.00,104.90,-19.60
7.10,102.89,-20.58
7.20,100.78,-21.56
7.30,98.58,-22.54
7.40,96.28,-23.52
7.50,93.88,-24.50
7.60,91.38,-25.48
7.70,88.78,-26.46
7.80,86.08,-27.44
7.90,83.29,-28.42
8.00,80.40,-29.40
8.10,77.41,-30.38
8.20,74.32,-31.36
8.30,71.14,-32.34
8.40,67.86,-33.32
8.50,64.48,-34.30
8.60,61.00,-35.28
8.70,57.42,-36.26
8.80,53.74,-37.24
8.90,49.97,-38.22
9.00,46.10,-39.20
9.10,42.13,-40.18
9.20,38.06,-41.16
9.30,33.90,-42.14
9.40,29.64,-43.12
9.50,25.28,-44.10
9.60,20.82,-45.08
9.70,16.26,-46.06
9.80,11.60,-47.04
9.90,6.85,-48.02
