Time(s),Position(m),Velocity(m/s)
0.00,2.00,49.00
0.01,2.49,48.90
0.02,2.98,48.80
0.03,3.47,48.71
0.04,3.95,48.61
0.05,4.44,48.51
0.06,4.93,48.41
0.07,5.41,48.31
0.08,5.89,48.22
0.09,6.37,48.12
0.10,6.86,48.02
0.11,7.34,47.92
0.12,7.82,47.82
0.13,8.29,47.73
0.14,8.77,47.63
0.15,9.25,47.53
0.16,9.72,47.43
0.17,10.20,47.33
0.18,10.67,47.24
0.19,11.14,47.14
0.20,11.61,47.04
0.21,12.08,46.94
0.22,12.55,46.84
0.23,13.02,46.75
0.24,13.49,46.65
0.25,13.96,46.55
0.26,14.42,46.45
0.27,14.89,46.35
0.28,15.35,46.26
0.29,15.81,46.16
0.30,16.27,46.06
0.31,16.73,45.96
0.32,17.19,45.86
0.33,17.65,45.77
0.34,18.11,45.67
0.35,18.57,45.57
0.36,19.02,45.47
0.37,19.48,45.37
0.38,19.93,45.28
0.39,20.38,45.18
0.40,20.84,45.08
0.41,21.29,44.98
0.42,21.74,44.88
0.43,22.19,44.79
0.44,22.63,44.69
0.45,23.08,44.59
0.46,23.53,44.49
0.47,23.97,44.39
0.48,24.41,44.30
0.49,24.86,44.20
0.50,25.30,44.10
0.51,25.74,44.00
0.52,26.18,43.90
0.53,26.62,43.81
0.54,27.06,43.71
0.55,27.49,43.61
0.56,27.93,43.51
0.57,28.37,43.41
0.58,28.80,43.32
0.59,29.23,43.22
0.60,29.67,43.12
0.61,30.10,43.02
0.62,30.53,42.92
0.63,30.96,42.83
0.64,31.38,42.73
0.65,31.81,42.63
0.66,32.24,42.53
0.67,32.66,42.43
0.68,33.09,42.34
0.69,33.51,42.24
0.70,33.93,42.14
0.71,34.35,42.04
0.72,34.78,41.94
0.73,35.19,41.85
0.74,35.61,41.75
0.75,36.03,41.65
0.76,36.45,41.55
0.77,36.86,41.45
0.78,37.28,41.36
0.79,37.69,41.26
0.80,38.10,41.16
0.81,38.51,41.06
0.82,38.93,40.96
0.83,39.34,40.87
0.84,39.74,40.77
0.85,40.15,40.67
0.86,40.56,40.57
0.87,40.96,40.47
0.88,41.37,40.38
0.89,41.77,40.28
